design,arm,rep,n_events,lag_set_m,Q_v,p_v,Q_z,p_z,acf_v_lag,acf_z_lag,reject_0.05_v,reject_0.05_z
D10,primary,27,137,2,1.6989705701523006,0.4276349854204218,1.361982503964853,0.5061150560813439,0.06031508469550604,0.09787554772299814,False,False
D10,primary,27,137,5,3.1673344645625736,0.6742056651516541,3.571293668392738,0.6126285108578485,-0.07558866152834434,-0.12029543972253588,False,False
D10,primary,27,137,10,3.9428367012298766,0.9498888699692157,5.352353506012821,0.8664326969000734,-0.01283767102309628,0.018396377593200425,False,False
D10,primary,28,129,1,3.6214630640000403,0.05703869173128717,4.424200897215348,0.03543270083222716,0.16562142306469696,0.18305934394706444,False,True
D10,primary,28,129,2,3.9516725725719817,0.13864531657005597,4.429787421322047,0.10916511671993911,0.0498156894034645,0.006479510471714198,False,False
D10,primary,28,129,5,7.916127745859148,0.16091897074262973,5.15000405780884,0.3978493137727357,0.00686530304404768,0.002431443066558054,False,False
D10,primary,28,129,10,11.285240908049303,0.3357312504608695,8.668494055677934,0.563826878688378,-0.09281329532595918,-0.04511931750249187,False,False
D10,primary,29,174,1,0.10575825150374105,0.7450259718806231,0.005347496266462973,0.9417053928688023,0.024442702650165543,-0.005496260882563809,False,False
D10,primary,29,174,2,0.42153924897526956,0.8099606404870039,0.413838143022842,0.8130854491015052,-0.042113977572902514,-0.047898765876946366,False,False
D10,primary,29,174,5,1.2034448007457317,0.944546456179771,2.155389884815253,0.8272528971838529,0.036276740366756335,0.03136831270877559,False,False
D10,primary,29,174,10,4.946334425293417,0.8947339527389787,4.543343698436191,0.9195261439885267,-0.07768721264657709,-0.05052086806358043,False,False
D10,primary,30,215,1,0.7565920228822357,0.38439714912099643,0.03871867948071848,0.8440070383026064,-0.05890995198945071,-0.013326559980690931,False,False
D10,primary,30,215,2,2.4708888740155888,0.2907055333555071,0.15186956435951732,0.9268766534632247,0.08846749262856919,-0.022728442818181007,False,False
D10,primary,30,215,5,3.225864065704459,0.6652095518563181,1.4455690729171906,0.9192643622944523,-0.04316821942008919,-0.04843245317169086,False,False
D10,primary,30,215,10,5.383375503734429,0.8641423757513818,8.049846697654795,0.6239678655365022,-0.007403836946697002,0.08064126256685314,False,False
D10,primary,31,125,1,0.7261585453894345,0.3941311944554524,6.166720575333317e-06,0.9980186246748664,-0.07531295739372036,-0.00021947300536624844,False,False
D10,primary,31,125,2,0.7265997827817755,0.6953778643916733,0.6949761010156952,0.7064604557227974,0.001848978424184236,-0.07338016720978098,False,False
D10,primary,31,125,5,2.0534759585764015,0.841697247772726,1.7538638082952718,0.8820451784670822,0.050527920076983,0.06838984690815104,False,False
D10,primary,31,125,10,2.6769404159482844,0.9880388469739384,3.156368526610299,0.9775008375700266,-0.013038790580859525,0.059885435117952454,False,False
D10,primary,32,88,1,1.6291763524433904,0.2018170084319002,0.16808733203590703,0.6818172804207081,0.13377688659364426,0.04296991825262014,False,False
D10,primary,32,88,2,1.854484664363426,0.3956432600588554,1.5094664153367983,0.47013602668704946,0.04946240642787964,0.12068753019651168,False,False
D10,primary,32,88,5,3.5579851968327647,0.6146324679873544,3.6906948246471005,0.5947493185501397,-0.040775622664301285,-0.019075253318646474,False,False
D10,primary,32,88,10,8.682066531793682,0.5625188460651602,7.530992180078955,0.6745432823634226,-0.18059758516614977,-0.09506842758443972,False,False
D10,primary,33,102,1,0.31211347626567354,0.5763861584590766,1.04023668076686,0.3077664326179502,-0.054513013638933856,-0.09951991885739664,False,False
D10,primary,33,102,2,0.3209597693465874,0.8517349563265487,1.0670751951718789,0.5865264008962057,-0.00913195801832409,-0.015906055034932833,False,False
D10,primary,33,102,5,0.7008586501397347,0.9829215172034039,1.8502645415896675,0.8694515126057603,-0.017680368637564836,0.003847091984599764,False,False
D10,primary,33,102,10,11.971819733679977,0.28694693049845643,11.34422199255827,0.33133618646009544,0.01723230373608399,-0.048192332100413945,False,False
D10,primary,34,97,1,0.5011781458654678,0.478982912063153,1.7293092631827314,0.18849913506507976,-0.07078287763455038,-0.1314826613231983,False,False
D10,primary,34,97,2,7.625497413732527,0.022087383697913632,6.786163880885598,0.03360494868914965,0.265478909491338,0.22366527963348298,True,True
D10,primary,34,97,5,10.080307657815123,0.07299148188117555,12.458133979630022,0.0290218999840145,0.13290938212657655,0.200174796643999,False,True
D10,primary,34,97,10,11.141291175087291,0.34661664397890735,14.176316962685735,0.16510010043149326,-0.07337090671107556,-0.0027205904948671045,False,False
D10,primary,35,117,1,0.02098820279495173,0.8848110989717268,0.41909909008326,0.5173869234121081,0.013223615381211988,0.059090945898778724,False,False
D10,primary,35,117,2,0.5085130803140786,0.7754928314728273,1.2846653473953966,0.5260638563553438,-0.06345719916175196,-0.08455370989150701,False,False
D10,primary,35,117,5,2.8689809827877237,0.7201765472029727,4.41079202107826,0.49190713410349507,0.02198663729172721,-0.0047075292864514305,False,False
